word,toxic
เนี่ยนักเรียกทุนยากจนก็แบบนี้แหละไม่รู้จักเจียมตัวทำตัวดูแพง,4
เออมากูก็อยากต่อยมึง,6
สั่งแกร๊บฟู้ดจากร้านที่บ้านมันสนุกแบบนี้นี่เอง 555555555555555555555555,1
อยากผ่านก็มาหาหลังเรียนที่ห้องครู,3
ซิงแล้วยังไม่เจียมเสนอหน้ามาร้านเหล้าให้ผู้ตอม เขาไม่มองมึงหรอกจ้า,3
ล่าสุดมีซิงเกิ้ลเดี่ยวละนะ ได้แรงบันดาลใจจากความสงสัยของชาวเน็ต ชื่อเพลง มึงมีผัวปะล่ะ,2
พอได้เจอกับเธอ,1
ขี้เหยียดอ่ะ คำหยาบก้เยอะรูปร่างเปลี่ยนแต่ขี้เหยียดแบบนี้ก้ไม่ไหวนะคะ,2
ละคือนางมโนเก่งมากปั้นเรื่องเก่งสุดไรสุด ต่อหน้าทำเป็นดีลับหลังคืออยากจะแหม,4
เอิ่ม คนแบบนี้ไม่มีใครชอบก็ไม่แปลกเลยจ้า เหยียดคนอื่น ด่าคนอื่นไปทั่ว แถมยังไม่รักษาความสะอาดอีก ใครมันจะชอบวะ อ่านแล้วต้องมองบน ทำตัวเองทั้งนั้น,2
แหม่ๆ แอ๊บตั้งนาน,4
ไม่รู้ทำไมและเพราะอะไร,1
หนูลูก ห้ามเดินไปทางนนั้น,1
จะด่าเป็นควายบางทีก็สงสารเพราะควายก็ไถนาได้ดี แต่ลุงบางคนทำหน้าที่อะไรก็ไม่ดีสักอย่าง,5
อยากจะจับสิ่งนั้นของคุณ,6
ขออนุญาตโพสลงเฟสบุ๊คได้ไหมคะ ตรงกับชีวิตเราตอนนี้เลย,1
เพื่อนอะไรไม่น่าคบ,2
ตัวมึงเหม็นเปรี้ยวจนจะยำได้แล้วนะ ใส่เครื่องยำเลยมั้ยไอห่า,5
อุบาท,5
นายคนนั้น,1
หลบได้หลบไปนะระวังจะเจอดี,3
แอบมองเธออยู่นะ,3
ส่องบ้างงงงง,1
เอารุ่นนี่แตกในได้มั้ยครับ,3
คิดว่าเล็ก ของจริงดันใหญ่,4
ทำตัวอย่างนี้ไง ถึงไม่มีใครเอา,2
ทุกข้อผิดพลาด มันทำให้ฉันโตเป็นผู้ใหญ่ขึ้น,1
โตเกินวัยนะ ดูหนมนมนั่นดิ,3
เชิดๆเลยค่ะ ตบได้ตบ!,3
ดูออกทุกคนอะ แต่ดันลืมดูตัวเอง,6
และแบบอยากให้คนมาเคารพอ่ะ กูมองบนจ้า มึงดูสิ่งที่มึงทำก่อนนะ,5
น่ะคะ ขออนุญาติตบมึงก่อนนะคะ,3
มันหลอกหลวงชัดๆ,2
ไม่บอกไม่มีใครเขารู้หรอกนะ หยิ่งเกิน,4
คำว่าไอหมอนี่มันสมควรไหมไอกนก จรรยาบรรณนักข่าวมีป่าววะ น่าเกลียดวะช่องนี้ #เนชั่น #เนชั่ว #เนชั่นโป๊ะแตก,5
ด่าควายยังสงสารควาย,5
ดูไม่ฉลาดเลยนะแบบนี้,2
อิพวกที่บูลลี่กูว่าอ้วนนะกูจะกลับมาตบพวกมึงทีละคนๆ,3
พวกที่มองไม่เห็นนี่เป็นพวกไม่รู้จักกาลเทศะเหมือนกันรึเปล่าเนี่ย,5
เขาจะต้องสวมหมวกประจาน... ...และออกไปจากหนองน้ำ เป็นเวลาพันปี หรือชั่วชีวิต!,4
เกาะชายกระโปงว่ะสัส,6
พวกล้าหลัง คลั่งชาติ,2
เขาก็เป็นผู้หญิงคนหนึ่งที่ถูกสอนมาแบบนี้อ่ะค่ะ ตอนนี้ผู้หญิงหลายคนยังไม่ตระหนักถึงสิทธิของตัวเองด้วยซ้ำ,2
สถุนชั้นตำ ขยะสังคม รกโลกจังเลยคนแบบนี้ เห็นแล้วหงุดหงิดอยู่ไกล้ๆจะเอาตีนกระแทกหน้าสักที หมั่นไส้,5
เห็นผู้หญิงแล้วเฉยๆ มันเป็นเกย์ชัวร์,5
คุณไม่ได้ให้ลูกกินนมแม่เหรอเนี่ย,4
คุณเป็นเป็นเส้นประสาทเส้นไหนในสมองเขาหรอ,2
ถ้าทักกี้เป็นนายก สลิ่มปิดธรรมเนียบแล้ว,6
นี่เป็นตัวอย่างการกระทำโง่ๆ,4
ทำไมเราต้องจ่ายเงินเดือนให้พวกลูกน้องที่ไม่ทำงานด้วยนะ,2
อีควาย อีเด็กปัญญาอ่อน อีเหี้ย เป็นเหี้ยไร ชอบใช้ต่อ มึงประสาทดีปะ เขาใช้มึง มึงก็ควรจะถ่ายให้หมด ไม่ใช่มาใช้ต่อแบบนี้ พอเขาทำเสร็จมึงก็มาเอาหน้า อีสัตว์ๆ กูอยากจะถ่าย อีเด็กเวร กูจบฝึกงาน กูดักตบมึงแน่ จะให้เป็ดตุ้ดเป็นกระเทยกูก็ดักตบ อีสัตว์ๆ กูหมั่นเขี้ยวมึงมามากพอละ,3
ส่วนตัวเลยไม่ชอบมัน,2
เราจะผ่านไปได้,1
แน่จริงก็แก้ผ้าออกมาเลยดิ,6
กระเทยหัวโปก,6
KFC วิงซ์แซ่บ 2 ชิ้น เพียง 29 บาท จากปกติ 34 บาท,1
โลกสวยทำเป็นไม่พูดคำหยาบ,2
คนบางคนพึ่งรู้จักว่าโตแล้วควรทำตัวยังไง,6
เหล่,5
เป็นเหตุผลว่าทำไมสลิ่มถึงเป็นสลิ่มตลอดไป เพราะพวกเค้าไม่เคยเปิดรับสิ่งใหม่ๆ ไง,2
เป็นบ้าหรอ ว้าย,6
จริงมากค่ะคุณแขก คนเบื้องบน รัฐบาลไม่สนใจเลยสักนิด ว่าพวกเราจะตายกันหมดแล้ว อากาศคือสิ่งที่จำเป็นมากที่สุด pm2.5 เยอะขนาดนี้ หายใจไม่หายใจก็ตายพอกันค่ะ,4
ตอนปี้กันพวกเอ็งคิดไงวะ ถามจริง?,3
เขาจะอับอายกับการที่เป็นตัวเอง ฉันอาจจะเคยปกปิดบางอย่างที่เป็นความลับเขา ตอนนี้ถึงเวลาที่ทุกคนต้องรู้,4
ขอกูปีนบันไดขึ้นไปตบมึงซักที,3
พี่อึดนะน้องไหวหรอ,6
อ่าว ลบเลย ว่าจะreply นี่นะทุกคน ตัวอย่างของการสักแต่ฉอด อย่าทำให้ตัวเองดูโง่,5
คนแบบมึงน่ะรกโลก,2
ทำตัวเอกนี่หว่า จะไปโทษใคร กูว่ากูซกมกแล้วนะนางยิ่งกว่า สลิดดก,2
ถ้ามาบอกจะช่วยแต่ไม่อยากช่วยทีหลังไม่ต้องพูด,2
เจฟคงมาสายเพื่อที่จะไม่ต้องนั่งฟัง คุณประจานความโง่ของตัวเอง ขอโทษทีนะ,4
ใจมันก็เปลี่ยนไป,1
"เมื่อเร็วๆนี้คุณท้าวได้ไปเยือนแค้นแม่ฮ่องสอน และได้มีโอกาสไปรับฟังความคิดเห็นของชาวบ้านชาติพันธุ์ ผู้ปกครองบอกกับคุณท้าวว่า ""เด็กไม่ได้กินนม ? เพราะครูไม่ยอมแจกให้เด็ก"" ฟังแล้วตกใจมาก ทั้งรร.มีนร.132 คน เป็นไปได้ไงนร.ไม่ได้ดื่ม ยังสมควรเรียกครูอีกหรอ",4
รักครั้งแรก ที่เราจะจำไปทั้งชีวิต,1
เขาอยู่ด้วยกัน ก็เรื่องของเขามั้ย หาเรื่องโชว์โง่,2
อีชิบหาย,1
คุณพูดชื่อรร.ให้ถูกก่อนมั้ย มีสิทธิ์อะไรมาบอกให้ลาออก,2
ดนตรีนี้ก็บรรเลงได้เข้าจังหวะมาก555,1
พ่อแม่นายทำงานอะไรหรอ,1
ของจริงต่ำกว่านี้,4
หน้าอย่างพี่ ไม่มีใครเอาหรอก,5
Energy 5 ดาว ไม่ได้ทำให้บุคลากรมีความสุข,2
อย่าลงมากเดี๋ยวพวกสลิ่มอกแตก,2
อุบ อายเป็นไหมนั่น,4
ทำไมชอบทำตาม,2
เราไม่อยากสุงสิงกับนายอะ,2
สมองมีไว้คิดสิ่งต่างๆรอบตัว,1
มารยาทส่วนรวมไม่มียังไปตบเค้าอีก,2
ผัวชาวบ้านคือดีไม่นานก็เสร็จกู,3
เด็กบางคนใช้เหตุผลด้วยไม่ได้ หรือครูกากเองที่สอนเด็กให้ดีไม่ได้,6
อาม่าจะสั่งสอนลูกหลานได้ยังไงในเมื่ออาม่ายังทำตัวเกรียวกราดเอง,2
